Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
Outbreak,1995,10 Mar 1995,"Action, Drama, Thriller",127 min,Wolfgang Petersen,"Laurence Dworet, Robert Roy Pool","Dustin Hoffman, Rene Russo, Morgan Freeman",R,6.6,64,"142,611",5 wins & 5 nominations total,"$67,659,560",United States,"English, Korean, French","Colonel Dr. Sam Daniels has just divorced his wife Robby Keough, who works at the CDC. Out of the blue, he is assigned by his superior General Billy Ford to investigate a lethal disease in an African village with his crew formed by the scientist Casey Schuler and Major Dr. Salt. They are impressed by the disease and Colonel Daniels reports to General Ford his findings afraid of contamination in the USA. However General Ford tells that the disease kills so fast that would never reach their country. However, an African smuggled monkey carrier of the disease is brought to USA and the customs employee Jimbo Scott unsuccessfully tries to sell the animal. He releases the monkey in the woods and spreads the disease in the beginning of an outbreak in a small town in California. Now Colonel Daniels, his ex-wife and their teams must fight the invisible enemy while Colonel Daniels discovers dark secrets from his superior General Donald McClintock.",https://m.media-amazon.com/images/M/MV5BNGYxY2Q0YzUtMmE3OS00ZmQ5LWFiOGUtZDZmNTJlM2YyZjJmXkEyXkFqcGc@._V1_SX300.jpg
War for the Planet of the Apes,2017,14 Jul 2017,"Action, Adventure, Drama",140 min,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa","Andy Serkis, Woody Harrelson, Steve Zahn",PG-13,7.4,82,"317,262",Nominated for 1 Oscar. 28 wins & 65 nominations total,"$146,880,162","United States, Canada","English, American Sign ","Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",https://m.media-amazon.com/images/M/MV5BMzNhMzNiZDYtMzYxYy00YTYwLTkxNmYtNTJhOGU1Yjg5ODI5XkEyXkFqcGc@._V1_SX300.jpg
Monsters University,2013,21 Jun 2013,"Animation, Adventure, Comedy",104 min,Dan Scanlon,"Dan Scanlon, Daniel Gerson, Robert L. Baird","Billy Crystal, John Goodman, Steve Buscemi",G,7.2,65,"411,795",Nominated for 2 BAFTA 9 wins & 58 nominations total,"$268,492,764","United States, Japan",English,"Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) are an inseparable pair, but that wasn't always the case. From the moment these two mismatched monsters met, they couldn't stand each other. This movie unlocks the door to how Mike and Sully overcame their differences and became the best of friends.",https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg
The Christmas Chronicles: Part Two,2020,25 Nov 2020,"Adventure, Comedy, Family",112 min,Chris Columbus,"Matt Lieberman, Chris Columbus, David Guggenheim","Kurt Russell, Goldie Hawn, Darby Camp",PG,6.0,51,"38,397",1 nomination total,N/A,United States,English,"While on Christmas vacation in Cancun with their respective mom and dad, a true Santa believing girl and a boy are kidnapped by a rebellious Santa hater as a plot for him to get into Santa's Village on the North Pole and destroy it. The kids are saved by Santa and taken to the elf populated Santa's Village and Mrs. Claus, where they get a tour of the place, dinner and bedtime story. The Santa hater starts his sabotage.",https://m.media-amazon.com/images/M/MV5BZTA1N2U4YWMtOWUxMy00NGI2LWJjOGItNGJiNmUyMDZkY2QwXkEyXkFqcGc@._V1_SX300.jpg
Endless Love,2014,14 Feb 2014,"Drama, Mystery, Romance",104 min,Shana Feste,"Shana Feste, Joshua Safran, Scott Spencer","Gabriella Wilde, Alex Pettyfer, Bruce Greenwood",PG-13,6.2,30,"48,490",1 win total,"$23,438,250",United States,English,"David has had a crush on Jade since the first time he saw her in the tenth grade. With high school coming to an end, David has never spoken to her until her family pulls up to The Inn, where David works as a valet. She and David fall madly in love, a love that only grows stronger as parents try to tear them apart. David knows Jade's past, but as his secrets are slowly revealed, Jade's trust is tested and leaves them wondering if they are truly meant to be together.",https://m.media-amazon.com/images/M/MV5BOTYzNDU1MzEyN15BMl5BanBnXkFtZTgwOTYwMTU0MDE@._V1_SX300.jpg
It Comes at Night,2017,09 Jun 2017,"Drama, Horror, Mystery",91 min,Trey Edward Shults,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo",R,6.1,78,"107,673",1 win & 13 nominations total,"$13,985,117",United States,English,"Secure within a desolate home as an unnatural threat terrorizes the world, the tenuous domestic order he has established with his wife and son is put to the ultimate test with the arrival of a desperate young family seeking refuge. Despite the best intentions of both families, paranoia and mistrust boil over as the horrors outside creep ever-closer, awakening something hidden and monstrous within him as he learns that the protection of his family comes at the cost of his soul.",https://m.media-amazon.com/images/M/MV5BMjQ3MDA0ODA2N15BMl5BanBnXkFtZTgwNzg0NzgwMjI@._V1_SX300.jpg
Space Jam,1996,15 Nov 1996,"Animation, Adventure, Comedy",88 min,Joe Pytka,"Leo Benvenuti, Steve Rudnick, Timothy Harris","Michael Jordan, Wayne Knight, Theresa Randle",PG,6.5,57,"222,382",5 wins & 8 nominations total,"$90,594,962",United States,English,"Swackhammer, owner of the amusement park planet Moron Mountain is desperate get new attractions and he decides that the Looney Tune characters would be perfect. He sends his diminutive underlings to get them to him, whether Bugs Bunny and Co. want to go or not. Well armed for their size, Bugs Bunny is forced to trick them into agreeing to a competition to determine their freedom. Taking advantage of their puny and stubby legged foes, the gang selects basketball for the surest chance of winning. However, the Nerdlucks turn the tables and steal the talents of leading professional basketball stars to become massive basketball bruisers known as the Monstars. In desperation, Bugs Bunny calls on the aid of Michael Jordan, the Babe Ruth of basketball, to help them have a chance at winning their freedom.",https://m.media-amazon.com/images/M/MV5BZGQ3ZDk0M2MtZDNmNi00OWE3LThiODUtMTU3NmVjMTA0ZGQyXkEyXkFqcGc@._V1_SX300.jpg
Anchorman 2: The Legend Continues,2013,18 Dec 2013,Comedy,119 min,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd",PG-13,6.3,61,"198,344",1 win & 23 nominations total,"$127,352,707",United States,English,"Having left San Diego for New York City, Ron Burgundy is living the high life with his wife Veronica Corningstone and son Walter Burgundy. However, when the boss decides to promote Veronica to full time lead anchor and fire Ron, everything changes. Now heading back to San Diego, Ron is washed up and working part time at Sea World. His shot at redemption though comes in the form of a man named Freddie Schapp, who's an executive producer at the Global News Network, the world's first 24 hour round the clock news channel. He hires Ron, who proceeds to reunite the news team of Champ, Brick, and Brian, and head back to New York City. While there Ron and his news team are given the graveyard shift and a challenge. Ron comes up with a radical new idea to transform the news and that puts him at the top of the game once again. But how long will Ron's newfound fame last? And will Brick finally find true love?",https://m.media-amazon.com/images/M/MV5BMjE5ODk0NjQzNV5BMl5BanBnXkFtZTgwODk4MDA1MDE@._V1_SX300.jpg
Rio Lobo,1970,18 Dec 1970,"Drama, War, Western",114 min,Howard Hawks,"Burton Wohl, Leigh Brackett","John Wayne, Jorge Rivero, Jennifer O'Neill",G,6.7,55,"14,293",N/A,N/A,"United States, Mexico","English, Spanish","Bent on unearthing the two Union traitors who sold gold shipment information to Confederates and caused the death of a dear brother-in-arms, the battle-tested former Union cavalry officer, Colonel Cord McNally, teams up with a pair of ex-Confederates after the Civil War. Now, as friends, the McNally and the Confederate captain Pierre Cordona ride into Rio Lobo--a dusty town in the middle of the desert overcome by corruption--to bring to justice the remaining traitor who sold McNally out; however, the town is rife with the betrayer's murderous cut-throats. Can McNally avenge his bosom buddy and clean up Rio Lobo?",https://m.media-amazon.com/images/M/MV5BNmQ2ZGYwZDktZmJkNi00ZGFkLWFhNzEtZWU1YmE1NDcxMGUwXkEyXkFqcGc@._V1_SX300.jpg
The Girl Who Escaped: The Kara Robinson Story,2023,11 Feb 2023,"Crime, Drama, Thriller",88 min,Simone Stock,Haley Harris,"Katie Douglas, Cara Buono, Kristian Bruun",TV-14,6.2,N/A,"4,724",3 wins & 3 nominations total,N/A,United States,English,It follows Kara Robinson as she survives an abduction and ultimately brings down a serial killer.,https://m.media-amazon.com/images/M/MV5BZDZmMzJjYTItNzgwZC00ZTk3LWI1OWMtZThjM2QxZmUwYjQ4XkEyXkFqcGc@._V1_SX300.jpg
The Pledge,2001,19 Jan 2001,"Crime, Drama, Mystery",124 min,Sean Penn,"Friedrich Dürrenmatt, Jerzy Kromolowski, Mary Olson-Kromolowski","Jack Nicholson, Benicio Del Toro, Patricia Clarkson",R,6.7,71,"72,050",1 win & 6 nominations total,"$19,733,089","United States, Canada",English,"On the night he retires as a Reno, Nevada detective, Jerry Black (Jack Nicholson) pledges to the mother of a murdered girl that he will find the killer. Jerry doesn't believe the Police arrested the right man. He discovers that this is the third incident in the area in the recent past with victims young, blonde, pretty, and small for their ages. So he buys an old gas station in the mountains near the crimes in order to search for a tall man who drives a black station wagon, gives toy porcupines as gifts, and calls himself ""the wizard"", all clues from a drawing by the dead girl. Jerry's solitary life gives way to friendship with a woman and her small, blonde daughter. Has Jerry neglected something that may prove to be fatal?",https://m.media-amazon.com/images/M/MV5BNzU3NDA5ZjItZmQxMi00ODY2LThmNjctYjU1MTE4OGZhYjlhXkEyXkFqcGc@._V1_SX300.jpg
Secondhand Lions,2003,19 Sep 2003,"Comedy, Drama, Family",109 min,Tim McCanlies,Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall",PG,7.5,52,"64,533",1 win & 6 nominations total,"$42,070,939","United States, United Kingdom, Slovakia",English,"A boy named Walter is dropped by his mother Mae at his great-uncles' house. Later, Walter will find out his great-uncles' big secret, and rumors say that Hub and Garth, Walter's great-uncles, have stolen a lot of gold and money. (some say they stole it from Al Capone) Did they really steal that money or not?",https://m.media-amazon.com/images/M/MV5BYTlmYjViMWItMDE0MS00OGFlLTg3YWUtMjUyNTQzMWI4ZGYxXkEyXkFqcGc@._V1_SX300.jpg
Parker,2013,25 Jan 2013,"Action, Crime, Thriller",118 min,Taylor Hackford,"John J. McLaughlin, Donald E. Westlake","Jason Statham, Jennifer Lopez, Michael Chiklis",R,6.2,42,"133,594",1 nomination total,"$17,616,641",United States,English,"Parker is a thief who has an unusual code. He doesn't steal from the poor and hurt innocent people. He is asked to join four other guys on a job. They pull it off flawlessly. They tell Parker that what they got can help them set up another job which will net them much more. But Parker doesn't want to join them and asks for his share. But they need it all so they try to kill him. They dispose of his body but someone finds him--he is still alive--and takes him to the hospital. After recovering he sets out to get back at the ones who tried to kill him, another one of his codes. Despite being told that they are working for a known mobster which he was not aware of, he still wants to go after them. He learns where they are and poses as a wealthy Texan looking to buy a house. So he hires a real estate agent, Leslie Rogers to show him around. He is actually trying to find out where they're holed up. And when he finds it, he sets out on his plan to get them. But when they learn he is alive, they contact the mobster to take care of him. So the mobster sends a killer to take care of him. And Leslie also finds herself intrigued with him so she follows him.",https://m.media-amazon.com/images/M/MV5BMTk4MzM2NTQ1Nl5BMl5BanBnXkFtZTcwODIyODY1OA@@._V1_SX300.jpg
I'm Thinking of Ending Things,2020,04 Sep 2020,"Drama, Thriller",134 min,Charlie Kaufman,"Charlie Kaufman, Iain Reid","Jesse Plemons, Jessie Buckley, Toni Collette",R,6.5,78,"104,876",15 wins & 107 nominations total,N/A,United States,"English, Spanish","Despite second thoughts about their relationship, a young woman (Jessie Buckley) takes a road trip with her new boyfriend (Jesse Plemons) to his family farm. Trapped at the farm during a snowstorm with Jake's mother (Toni Collette) and father (David Thewlis), the young woman begins to question the nature of everything she knew or understood about her boyfriend, herself, and the world. An exploration of regret, longing and the fragility of the human spirit, I'M THINKING OF ENDING THINGS is directed and written by Academy Award® winner Charlie Kaufman (Eternal Sunshine of the Spotless Mind). Inspired by Iain Reid's bestselling namesake novel.",https://m.media-amazon.com/images/M/MV5BYTgxNWU0MGMtMDI1Ny00NDIwLTllYzYtZDkyOTVmYmFhZGM0XkEyXkFqcGc@._V1_SX300.jpg
Mike and Dave Need Wedding Dates,2016,08 Jul 2016,"Comedy, Romance",98 min,Jake Szymanski,"Andrew Jay Cohen, Brendan O'Brien","Zac Efron, Adam Devine, Anna Kendrick",R,6.0,51,"97,026",4 nominations total,"$46,009,673",United States,"English, Chinese, Japanese","Hard-partying brothers Mike (Adam Devine) and Dave (Zac Efron) place an online ad to find the perfect dates (Anna Kendrick, Aubrey Plaza) for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves outsmarted and out-partied by the uncontrollable duo.",https://m.media-amazon.com/images/M/MV5BMjM4NDIxNzI5Nl5BMl5BanBnXkFtZTgwMTg4NTY5NzE@._V1_SX300.jpg
Outlaw King,2018,09 Nov 2018,"Action, Biography, Drama",121 min,David Mackenzie,"Bathsheba Doran, David Mackenzie, James MacInnes","Chris Pine, Stephen Dillane, Rebecca Robin",R,6.9,59,"85,122",2 nominations total,N/A,"United Kingdom, United States","English, French, Gaelic, Latin","After being declared ""Outlaw"" by the occupying English Empire, Robert the Bruce (Chris Pine) raises an army of Scottish fighters in rebellion. Twists and turns all across the Scottish countryside lead this film on an epic, ""true to historical events"", journey that captures heroism at its core!",https://m.media-amazon.com/images/M/MV5BZjI0MGZkYjItODFmZC00OWIyLTk4MDctYTIwZDZhYThhYWNlXkEyXkFqcGc@._V1_SX300.jpg
